,title,tmdb_id,year,budget,vote_count,vote_average,runtime,popularity,view_count,like_count,dislike_count,comment_count,film-noir,mystery,action,imax,sci-fi,romance,musical,comedy,war,crime,children,fantasy,horror,drama,western,adventure,animation,thriller,revenue,predicted,difference,percent_off
339,It Follows,270303,2014,2000000.0,4379.0,6.5,101.0,39.397,12020750,35560,2488,4595,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14674076.0,60101872,-45427796.0,310.0
30,Machete,23631,2010,20000000.0,2286.0,6.3,105.0,19.875,3909022,6176,735,2006,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,44093316.0,89369786,-45276470.0,103.0
592,Mission: Impossible - Fallout,353081,2018,178000000.0,5355.0,7.4,147.0,61.13399999999999,84676303,653164,19840,40435,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,791017452.0,518298684,272718768.0,34.0
54,Paul,39513,2011,40000000.0,3873.0,6.6,104.0,34.945,821575,3287,137,221,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,97552050.0,160327855,-62775805.0,64.0
146,Pitch Perfect,114150,2012,17000000.0,5115.0,7.3,112.0,30.425,4845623,13398,595,698,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,115400000.0,128926379,-13526379.0,12.0
446,Finding Dory,127380,2016,200000000.0,9335.0,7.0,97.0,29.908,42359193,267687,7254,16629,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1028570889.0,761962148,266608741.0,26.0
193,Iron Man 3,68721,2013,200000000.0,16702.0,6.9,130.0,56.773,54707052,174314,8318,22446,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1214811252.0,801751676,413059576.0,34.0
75,Bad Teacher,52449,2011,20000000.0,3558.0,5.5,92.0,20.964000000000002,2847854,11575,550,555,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,216197492.0,118410714,97786778.0,45.0
415,Legend,276907,2015,25000000.0,2232.0,6.9,131.0,18.517,14507261,50142,1296,3155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,42972994.0,78430993,-35457999.0,83.0
642,Zombieland: Double Tap,338967,2019,42000000.0,2950.0,7.0,99.0,126.22200000000001,26798807,402321,11689,21266,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,122801777.0,199776056,-76974279.0,63.0
160,Flight,87502,2012,31000000.0,4279.0,6.7,138.0,19.953,2102968,7313,301,592,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,161772375.0,137465630,24306745.0,15.0
615,Mortal Engines,428078,2018,100000000.0,2979.0,6.1,129.0,72.57,34764340,152181,12853,15379,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,83672673.0,215033574,-131360901.0,157.0
26,Salt,27576,2010,110000000.0,3923.0,6.3,100.0,31.805999999999997,10412937,16773,938,3241,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,293329073.0,239823476,53505597.0,18.0
166,Zero Dark Thirty,97630,2012,40000000.0,3121.0,6.9,157.0,22.584,6800383,15557,1969,3371,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,132820716.0,112769938,20050778.0,15.0
288,How to Train Your Dragon 2,82702,2014,145000000.0,6944.0,7.7,102.0,49.848,14166460,75573,2614,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,609123048.0,540538570,68584478.0,11.0
25,The Karate Kid,38575,2010,40000000.0,4038.0,6.4,140.0,36.933,22991179,34402,3374,14497,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,357852395.0,139824512,218027883.0,61.0
9,Kick-Ass,23483,2010,28000000.0,8858.0,7.1,117.0,32.72,1874146,8022,269,971,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,96188903.0,181151242,-84962339.0,88.0
